d,l,nc,w,association,country,dob,fname,height1,height2,lname,locality,name1,nick1,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight1,eff,active,grind,ape_ratio,st_ratio,age,wc,w_pct,z_sapm,z_slpm,z_str_acc,z_str_def,z_td_acc,z_td_avg,z_td_def,z_eff,z_active,z_grind,z_st_ratio,z_age,z_ape_ratio,fights
0,4,0.0,13,The Kennel Fight Club,USA,1989-09-22,Corey,75.0,75.0,Anderson,"Rockton, Illinois",Corey Anderson,Overtime,79.0,2.2,4.37,Orthodox,0.46,0.59,0.0,0.5,4.96,0.83,205.0,1.9863636363636363,6.57,,1.0533333333333332,13.215725806451612,29.5972602739726,lhw,0.7647058823529411,-0.4136305655070484,1.0753912143430329,0.22611147718432822,0.6844187633481499,0.7888667638925012,1.6710397225705735,1.2722820266949577,0.1679062492692264,0.08102350779637374,,-0.4577717521105156,-1.2828541523884598,0.9076909387763075,17.0
0,4,0.0,18,Jackson-Wink MMA,USA,1984-09-20,Quinn,75.0,75.0,Mulhern,"Santa Fe, New Mexico",Quinn Mulhern,,76.0,2.09,1.48,Orthodox,0.28,0.51,0.0,0.2,1.36,0.33,155.0,0.7081339712918661,3.57,,1.0133333333333334,16.323529411764703,34.605479452054794,lw,0.8181818181818182,-0.6052702148764201,-0.6904850199085084,-0.8361526383985715,-0.23825279158566634,-0.44573741711239184,-0.12476720699964955,-0.40808131323153846,-0.2796192644940417,-0.8039209236858236,,-0.34977426917874094,-0.18232297955529772,-0.3797927145803493,22.0
0,3,0.0,20,Wand Fight Team,USA,1969-10-31,Jason,66.0,66.0,Reinhardt,"Decatur, Illinois",Jason Reinhardt,,,4.07,0.51,Orthodox,0.4,0.43,0.0,0.12,1.91,0.5,135.0,0.1253071253071253,4.58,,,4.005235602094241,49.50410958904109,bw,0.8695652173913043,0.17770526156268884,-1.3295974614292647,-0.012511933966625597,-1.0964757490960673,-0.6745601805103568,0.3275813264701247,-0.007770870370884889,-1.1989648045078252,-0.6506866238199541,,-0.7641410654771145,3.390777705805504,,23.0
0,10,0.0,25,Jackson-Wink MMA,USA,1983-11-02,Cub,68.0,67.0,Swanson,"Palm Springs, California",Cub Swanson,,70.0,3.28,4.16,Orthodox,0.49,0.62,0.5,0.52,1.17,0.6,145.0,1.2682926829268293,7.4399999999999995,2.34,1.0294117647058822,53.33333333333334,35.49041095890411,fw,0.7142857142857143,-0.03467043400918496,0.8164512761059889,0.6667176369187633,0.5719677018794159,0.8465749594087529,-0.1657035049147547,0.25850292068463737,0.3508601853806651,0.4131195964712583,-0.03723608016602281,0.22114641284569345,0.42055216445998644,0.2802478853637887,35.0
0,1,0.0,7,HIT Squad,USA,1980-02-12,Jon,72.0,72.0,Madsen,"Granite City, Illinois",Jon Madsen,,72.0,1.18,2.46,Orthodox,0.41,0.81,0.0,0.71,1.32,0.7,240.0,2.0847457627118646,3.6399999999999997,,1.0,27.954545454545453,39.21369863013699,hw,0.875,-0.6819431157102327,0.020304068085470285,-0.04818773184444225,2.2325935891397815,1.2467077036439471,0.005066773016214168,0.8726102282416204,0.7772424220534446,-0.6019006800103767,,-0.1915146482665675,-0.11970864770752217,-1.2381795593942106,8.0
0,4,0.0,5,Franco Behring,Canada,1978-09-05,Rob,75.0,75.0,MacDonald,Ontario,Rob MacDonald,Maximus,78.0,2.04,1.8,Orthodox,0.5,0.46,5.4,0.8,7.19,0.8,205.0,0.8823529411764706,3.84,1.3314814814814815,1.04,3.755215577190542,40.652054794520545,lhw,0.5555555555555556,-0.4560648615143432,-0.3790534505421789,0.471192769715848,-0.24191756214676963,1.8554500549291948,2.715937711209172,1.184549204731453,-0.06539117561010765,-0.5683920552151419,-0.2893957082490876,-0.6153183775907557,0.22298807655492622,0.41533417319264293,9.0
0,7,1.0,14,Renzo Gracie Jiu-Jitsu,Sweden,1982-08-27,Akira,68.0,68.0,Corassani,Gothenburg,Akira Corassani,,68.0,4.91,3.25,Orthodox,0.45,0.5,0.0,0.28,0.7,0.86,145.0,0.6619144602851323,8.16,,1.0,69.64285714285715,36.673972602739724,fw,0.6666666666666666,0.7722551257960399,0.2595423425734883,0.33014501740499763,-0.429917943176462,-0.04774356717435863,-0.43117428755484416,1.0479278269189582,-0.4717395229793347,0.648429250431649,,0.5519999389142763,0.6551478857110652,-0.8151325497482462,22.0
0,3,0.0,8,IndyBoxing and Grappling,USA,1980-12-13,Garett,72.0,72.0,Whiteley,"Indianapolis, Indiana",Garett Whiteley,Goodnight,72.0,4.04,3.72,Orthodox,0.48,0.46,0.9,0.0,0.0,0.27,155.0,0.9207920792079208,7.76,0.0,1.0,,38.37808219178082,lw,0.7272727272727273,0.3591870628429454,0.7458805677458737,0.5913041479605835,-0.6275311802581637,-1.1474814557149924,-0.8330794058249812,-0.5995286913122888,-0.022692352347832383,0.6602448815616819,-0.7033090482964314,,0.5477013186040206,-0.8605660293500599,11.0
0,6,0.0,17,Jackson-Wink MMA,Mexico,1989-11-19,Erik,68.0,68.0,Perez,Monterrey,Erik Perez,Goyito,68.0,2.09,3.16,Orthodox,0.4,0.66,0.2,0.55,3.16,0.69,135.0,1.5119617224880384,5.25,15.8,1.0,15.000000000000002,29.438356164383563,bw,0.7391304347826086,-0.6544597049546439,0.06838713798212602,-0.012511933966625597,0.9828873522552404,0.8217856167328561,1.1233325199348894,0.593833676103564,0.7285801974887198,-0.4428437054207998,2.6136401014601693,-0.5607338356846383,-0.6766942028561835,-0.6457470761349782,23.0
0,4,0.0,16,Next Generation UK,England,1987-07-14,Danny,73.0,72.0,Roberts,"Liverpool, Merseyside",Danny Roberts,Hot Chocolate,74.0,3.1,3.42,Southpaw,0.42,0.55,0.4,0.0,0.0,0.54,170.0,1.103225806451613,6.52,0.0,1.0136986301369864,,31.791780821917808,ww,0.8,-0.1037577091495807,0.5686423357143663,0.06431695946188247,0.25522980699257986,-1.1797975577175064,-0.8990079010929118,0.22818292916178104,0.16192022991814134,0.21905720395341707,-0.6273446164496953,,-0.7848839369284192,-0.5880661638445035,20.0
