d,l,nc,w,association,birth_date,class,country,dob,fname,height1,height2,lname,locality,name1,nick1,nick2,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight1,weight2
0,4,,13,The Kennel Fight Club,1989-09-22,Light Heavyweight,United States,1989-09-22,Corey,75.0,75.0,Anderson,"Rockton, Illinois",Corey Anderson,Overtime,Beastin 25/8,79.0,2.2,4.37,Orthodox,0.46,0.59,0.0,0.5,4.96,0.83,205.0,205.0
0,4,,18,Jackson-Wink MMA,1984-09-20,Lightweight,United States,1984-09-20,Quinn,75.0,75.0,Mulhern,"Santa Fe, New Mexico",Quinn Mulhern,,,76.0,2.09,1.48,Orthodox,0.28,0.51,0.0,0.2,1.36,0.33,155.0,155.0
0,3,,20,Wand Fight Team,1969-10-31,Bantamweight,United States,1969-10-31,Jason,66.0,66.0,Reinhardt,"Decatur, Illinois",Jason Reinhardt,,,,4.07,0.51,Orthodox,0.4,0.43,0.0,0.12,1.91,0.5,135.0,135.0
0,10,,25,Jackson-Wink MMA,1983-11-02,Featherweight,United States,1983-11-02,Cub,68.0,67.0,Swanson,"Palm Springs, California",Cub Swanson,,,70.0,3.28,4.16,Orthodox,0.49,0.62,0.5,0.52,1.17,0.6,145.0,145.0
0,1,,7,HIT Squad,1980-02-12,Heavyweight,United States,1980-02-12,Jon,72.0,72.0,Madsen,"Granite City, Illinois",Jon Madsen,,,72.0,1.18,2.46,Orthodox,0.41,0.81,0.0,0.71,1.32,0.7,240.0,222.0
0,4,,5,Franco Behring,,Heavyweight,Canada,1978-09-05,Rob,75.0,75.0,MacDonald,Ontario,Rob MacDonald,Maximus,,78.0,2.04,1.8,Orthodox,0.5,0.46,5.4,0.8,7.19,0.8,205.0,230.0
0,7,1.0,14,Renzo Gracie Jiu-Jitsu,1982-08-27,Featherweight,Sweden,1982-08-27,Akira,68.0,68.0,Corassani,Gothenburg,Akira Corassani,,,68.0,4.91,3.25,Orthodox,0.45,0.5,0.0,0.28,0.7,0.86,145.0,145.0
0,3,,8,IndyBoxing and Grappling,1980-12-13,Lightweight,United States,1980-12-13,Garett,72.0,72.0,Whiteley,"Indianapolis, Indiana",Garett Whiteley,Goodnight,,72.0,4.04,3.72,Orthodox,0.48,0.46,0.9,0.0,0.0,0.27,155.0,155.0
0,6,,17,Jackson-Wink MMA,1989-11-19,Bantamweight,Mexico,1989-11-19,Erik,68.0,68.0,Perez,Monterrey,Erik Perez,Goyito,El Goyito,68.0,2.09,3.16,Orthodox,0.4,0.66,0.2,0.55,3.16,0.69,135.0,135.0
0,4,,16,Next Generation UK,,Welterweight,England,1987-07-14,Danny,73.0,72.0,Roberts,"Liverpool, Merseyside",Danny Roberts,Hot Chocolate,Hot Chocolate,74.0,3.1,3.42,Southpaw,0.42,0.55,0.4,0.0,0.0,0.54,170.0,170.0
