D,L,NC,W,dob,fname,height,lname,name,nick,reach,sapm,slpm,stance,str. acc,str. def,sub. avg,td acc,td avg,td def,weight
0,4,,13,1989-09-22,Corey,75.0,Anderson,Corey Anderson,Overtime,79.0,2.2,4.37,Orthodox,0.46,0.59,0.0,0.5,4.96,0.83,205.0
0,4,,18,1984-09-20,Quinn,75.0,Mulhern,Quinn Mulhern,,76.0,2.09,1.48,Orthodox,0.28,0.51,0.0,0.2,1.36,0.33,155.0
0,2,,3,,RJ,,Clifford,RJ Clifford,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,160.0
0,3,,20,1969-10-31,Jason,66.0,Reinhardt,Jason Reinhardt,,,4.07,0.51,Orthodox,0.4,0.43,0.0,0.12,1.91,0.5,135.0
0,10,,25,1983-11-02,Cub,68.0,Swanson,Cub Swanson,,70.0,3.28,4.16,Orthodox,0.49,0.62,0.5,0.52,1.17,0.6,145.0
0,0,,12,,Everett,,Cummings,Everett Cummings,,,4.34,0.43,,0.6,0.45,2.2,0.0,0.0,0.0,205.0
0,1,,7,1980-02-12,Jon,72.0,Madsen,Jon Madsen,,72.0,1.18,2.46,Orthodox,0.41,0.81,0.0,0.71,1.32,0.7,240.0
0,4,,5,1978-09-05,Rob,75.0,MacDonald,Rob MacDonald,Maximus,78.0,2.04,1.8,Orthodox,0.5,0.46,5.4,0.8,7.19,0.8,205.0
0,6,,4,,Scott,76.0,Bessac,Scott Bessac,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,245.0
3,11,,22,,Masanori,69.0,Suda,Masanori Suda,,,1.2,1.8,Orthodox,0.5,0.63,0.0,0.0,0.0,0.6,183.0
0,2,,0,1983-02-06,Elisha,66.0,Helsper,Elisha Helsper,Knuckles,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,135.0
0,7,1.0,14,1982-08-27,Akira,68.0,Corassani,Akira Corassani,,68.0,4.91,3.25,Orthodox,0.45,0.5,0.0,0.28,0.7,0.86,145.0
0,8,1.0,15,1976-10-09,Josh,64.0,Diekmann,Josh Diekmann,The Freight Train,,4.69,0.94,,0.08,0.54,0.0,0.0,0.0,0.0,246.0
0,2,,6,1986-12-12,Zarah,70.0,Fairn dos Santos,Zarah Fairn dos Santos,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,14,,14,1978-09-17,Marcio,72.0,Navarro,Marcio Navarro,The Locomotive,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,3,,7,,Patrick,73.0,Speight,Patrick Speight,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,3,,8,1980-12-13,Garett,72.0,Whiteley,Garett Whiteley,Goodnight,72.0,4.04,3.72,Orthodox,0.48,0.46,0.9,0.0,0.0,0.27,155.0
0,6,,17,1989-11-19,Erik,68.0,Perez,Erik Perez,Goyito,68.0,2.09,3.16,Orthodox,0.4,0.66,0.2,0.55,3.16,0.69,135.0
0,4,,16,1987-07-14,Danny,73.0,Roberts,Danny Roberts,Hot Chocolate,74.0,3.1,3.42,Southpaw,0.42,0.55,0.4,0.0,0.0,0.54,170.0
0,4,,10,1996-01-20,Su,68.0,Mudaerji,Su Mudaerji,Sulamu,72.0,4.5,2.53,Southpaw,0.6,0.48,4.2,0.0,0.0,0.6,135.0
1,6,,18,1981-07-16,Yui,69.0,Chul Nam,Yui Chul Nam,The Korean Bulldozer,69.0,2.0,3.53,Orthodox,0.51,0.48,0.3,0.16,1.33,0.57,145.0
0,3,,7,1989-02-07,Gleidson,69.0,Cutis,Gleidson Cutis,Poney,,8.28,2.99,Orthodox,0.52,0.59,0.0,0.0,0.0,0.0,155.0
0,3,,3,,Merritt,70.0,Warren,Merritt Warren,,,0.0,0.0,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,13,,12,1961-12-13,Maurice,74.0,Smith,Maurice Smith,,,0.47,0.41,Orthodox,0.46,0.6,0.9,0.5,0.89,0.2,221.0
0,2,,4,1992-01-16,Don'Tale,78.0,Mayes,Don'Tale Mayes,King Kong,82.0,4.12,4.79,Orthodox,0.48,0.4,0.0,0.0,0.0,0.72,260.0
0,3,,19,1979-11-25,Richard,67.0,Crunkilton,Richard Crunkilton,Cleat,,1.66,1.97,Orthodox,0.41,0.58,1.5,0.61,4.68,0.65,155.0
0,1,,0,,Julian,75.0,Sanchez,Julian Sanchez,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,300.0
3,12,,15,,Takeshi,68.0,Yamazaki,Takeshi Yamazaki,,,1.57,0.57,Southpaw,0.25,0.47,1.0,0.5,4.5,1.0,139.0
0,1,,0,,Michael,,Lerma,Michael Lerma,,,6.47,0.0,,0.0,0.45,0.0,0.0,0.0,0.0,
1,2,,7,1989-03-25,Ben,70.0,Wall,Ben Wall,Manimal,73.0,8.53,1.47,Orthodox,0.29,0.29,0.0,0.0,0.0,1.0,155.0
0,6,,12,1987-07-30,Anthony,69.0,Christodoulou,Anthony Christodoulou,,72.0,5.9,2.19,Orthodox,0.26,0.45,0.0,0.0,0.0,0.4,155.0
2,16,,28,1964-02-11,Ken,73.0,Shamrock,Ken Shamrock,The World's Most Dangerous Man,72.0,4.3,1.47,Orthodox,0.46,0.39,2.5,0.6,0.94,0.44,205.0
0,1,,13,1992-02-09,Darko,72.0,Stosic,Darko Stosic,,76.0,1.24,2.8,Orthodox,0.56,0.75,0.0,0.0,0.0,1.0,205.0
2,11,,40,1979-07-20,Kyle,69.0,Jensen,Kyle Jensen,,,0.92,0.0,Orthodox,0.0,0.6,6.9,1.0,6.92,0.0,170.0
1,0,,16,1988-06-09,Ivan,72.0,Shtyrkov,Ivan Shtyrkov,Ural Hulk,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,205.0
0,3,,3,,Ryan,,Tobar,Ryan Tobar,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,0,1.0,9,1991-10-07,Jordan,74.0,Wright,Jordan Wright,The Beverly Hills Ninja,77.0,15.0,3.0,Orthodox,0.28,0.28,0.0,0.0,0.0,0.0,185.0
0,2,,1,1983-10-19,Gokhan,72.0,Saki,Gokhan Saki,The Rebel,73.0,4.57,7.09,Orthodox,0.58,0.53,0.0,0.0,0.0,1.0,205.0
0,6,,10,1982-08-21,Daniel,69.0,Sarafian,Daniel Sarafian,,73.0,3.1,2.23,Orthodox,0.46,0.58,0.7,0.07,0.36,0.53,185.0
0,2,,6,1982-07-16,John,66.0,Franchi,John Franchi,,67.0,2.59,1.83,Orthodox,0.48,0.48,0.3,0.8,2.68,0.4,145.0
0,4,,5,,Gregory,74.0,Bouchelaghem,Gregory Bouchelaghem,,,1.53,0.27,Switch,0.21,0.36,0.0,0.0,0.0,0.5,183.0
0,1,,7,1994-01-25,Mabelly,62.0,Lima,Mabelly Lima,,,5.67,3.07,Orthodox,0.63,0.44,0.0,0.0,0.0,1.0,135.0
0,0,,2,1962-03-03,Herschel,73.0,Walker,Herschel Walker,,,0.45,3.42,Orthodox,0.67,0.46,0.0,1.0,1.94,1.0,215.0
0,1,,5,1978-07-14,Rolles,76.0,Gracie,Rolles Gracie,,,3.38,2.3,Orthodox,0.32,0.55,0.0,0.1,2.3,0.0,242.0
0,8,,9,1988-09-05,Raquel,67.0,Pennington,Raquel Pennington,Rocky,67.0,3.31,3.42,Orthodox,0.47,0.62,0.9,0.28,1.16,0.64,135.0
0,16,,27,1984-05-22,Joe,70.0,Lauzon,Joe Lauzon,J-Lau,71.0,5.39,2.74,Orthodox,0.38,0.54,2.1,0.45,2.34,0.54,155.0
0,5,,9,1971-12-13,Mike,76.0,Nickels,Mike Nickels,,,1.11,4.44,Orthodox,0.52,0.64,2.8,0.8,11.11,0.0,205.0
1,8,,22,,Kestutis,70.0,Smirnovas,Kestutis Smirnovas,,,5.05,4.95,Orthodox,0.52,0.54,1.6,0.5,1.55,1.0,200.0
0,3,,8,1980-02-19,Chad,72.0,Leonhardt,Chad Leonhardt,The Boss,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,3,,9,1983-01-31,Konstantin,71.0,Erokhin,Konstantin Erokhin,The Russian Bear,73.0,1.83,1.07,Orthodox,0.36,0.47,0.0,0.0,0.0,0.7,230.0
0,9,,18,1981-01-19,Justin,73.0,Guthrie,Justin Guthrie,,,3.74,0.16,,0.33,0.14,4.9,0.25,2.44,0.0,170.0
0,5,,14,1988-01-21,Andre,71.0,Ewell,Andre Ewell,Mr. Highlight,76.0,3.6,2.33,Southpaw,0.37,0.51,0.0,1.0,0.51,0.37,135.0
0,4,,6,,Bobby,,Flynn,Bobby Flynn,,,0.77,0.38,,0.25,0.0,0.0,0.0,0.0,0.0,170.0
0,3,,6,,Luke,71.0,Stewart,Luke Stewart,,,2.34,3.75,Orthodox,0.56,0.53,1.9,0.33,3.75,0.5,170.0
1,14,,17,1973-05-27,Gideon,70.0,Ray,Gideon Ray,,,2.58,2.08,Southpaw,0.4,0.53,0.0,1.0,1.49,0.0,185.0
